判断,短信类型,状态,已读,协议,主题,联系人,时间,呼叫中心,短信内容
0,收件箱,0,1,0,,`1065800996998735210,2016-11-11 19:25:09,,"【广州移动】高校客户：您的号码可升级18元套餐，每月2.7G，全国接听免费，短信发送KTFXQ18到10086开通或致电10086！回T退订"
1,收件箱,0,1,0,,`95599,2016-09-26 17:42:07,,"【中国农业银行】您尾号4179的农行账户于09月26日17时41分完成一笔财付通深交易，金额为-200.00，余额3994.47。"
0,收件箱,0,1,0,,`106906591069,2016-11-11 14:02:01,,"【ofo】师生专享福利：您今日的第一次骑行，将由ofo为您买单。祝您每天骑行愉快。"
0,收件箱,0,1,0,,`1069017011871438,2016-11-11 12:12:56,,"深圳市铁汉生态环境股份有限公司华南理工大学校招宣讲会:11月11日19：00，地点：（五山校区）就业指导中心一号报告厅。退订回N【铁汉生态】"
0,收件箱,0,1,0,,`10690159810106,2016-11-11 11:10:03,,"【天猫】双11话费充50送2，充100送5；流量充1G得1.5G，充2G得3G！立即充值http://dwz.cn/4wpXfg 回td退订"
1,收件箱,0,1,0,,`10690170110280,2016-11-11 09:03:07,,"广州农商银行诚邀您参加11月11日14点在广东外语外贸大学（大学城校区）B8学术报告厅的宣讲会，宣讲后现场直接进行初面。退订回N【校园招聘】"
0,收件箱,0,1,0,,`106907550999922,2016-11-10 17:48:17,,"【ofo】光棍节解决单身问题，刻不容缓！凭11日骑行单号配对你的有缘人，还能赢大奖！点击 www.ofo.so/1111 查看详情，TD退订"
0,收件箱,0,1,0,,`106907550999922,2016-11-11 08:16:51,,"【ofo】光棍节骑小黄脱单赢大奖，送您4张1元暖心劵，活动正在火热进行中，猛戳 http://t.cn/Rf2F8lk 参与活动，TD退订"
1,收件箱,0,1,0,,`10010,2016-09-26 18:54:44,,"尊敬的用户：截止2016年09月26日18时，您的号码本月产生的总流量为1203.59MB，其中主要流量使用情况如下：省内流量已用550.54MB，剩余2010.46MB，其中结转流量已用0.00MB，剩余0.00MB；国内流量已用0.00MB，剩余150.00MB，其中结转流量已用0.00MB，剩余0.00MB；定向流量已用331.47MB，剩余22196.53MB；随意玩已用321.41MB，剩余3774.59MB，其中结转流量已用319.54MB，剩余1726.59MB；套餐外收费流量0.00MB，并按标准资费收取。本次查询结果存在延时，以上信息仅供参考。点击 http://u.10010.cn/dxyyt下载【手机营业厅】客户端，流量包详情随时查，使用更便捷。广东联通【玩4G就上 m.10010.com】"
1,收件箱,0,1,0,,`10010,2016-09-26 18:54:48,,"您的账户当前可用余额75.61元（包含本月可用预存款60.61元，本月可用赠款15.00元）；话务套包剩余时长46分钟，其中本地拨打剩余时长46分钟；GPRS日月租赠款余额为15.00元。流量使用情况查询可发CXLL到10010；分月返还赠款余额查询可发送CXWD至10010。推荐您使用“手机营业厅”一键快速查询，页面展示更清晰，使用免流量，马上下载请点击 http://u.10010.cn/dxyyt。【注：“当前可用余额”为您的话费实时结余余额】【玩4G就上 m.10010.com】"
1,收件箱,0,1,0,,`10010,2016-10-13 09:13:06,,"广东省12348公共法律服务热线已上线。省内群众遇到法律问题或办理法律援助、公证、人民调解等事务，均可拨打12348或登录http://12348.gdsf.gov.cn寻求帮助。（广东省司法厅）"
1,收件箱,0,1,0,,`10010,2016-10-14 08:24:23,,"今天是世界标准日！中国宣传主题是“实施标准化战略、促进世界互联互通”。标准化助推创新发展，标准化引领时代进步！质检总局、国家标准委宣。"
1,收件箱,0,1,0,,`10010,2016-10-20 18:51:59,,"省政府应急办、省三防办、省气象局提醒你：受台风“海马”影响，21日-22日本地将有暴雨到大暴雨和7级-9级大风。请密切关注并做好防御。"
1,收件箱,0,1,0,,`10010,2016-10-20 18:53:04,,"省政府应急办、省三防办、省气象局提醒你：受台风“海马”影响，21日-22日本地将有暴雨到大暴雨和7级-9级大风。请密切关注并做好防御。"
0,收件箱,0,1,0,,`106901059791,2016-10-31 10:00:16,,"【前程无忧】程淇铭您好，我们是一家专业眼镜制造及销售的跨国集团公司-Luxottica（陆逊梯卡）。现邀请您参加10月31日19:00在广东工业大学（大学城校区）教学楼6-107举行的宣讲会，届时会有精美礼品赠送，现场笔试，请准备简历，欢迎加入。陆逊梯卡"
0,收件箱,0,1,0,,`106901059791,2016-11-01 09:05:25,,"【前程无忧】程淇铭您好，武田邀您参加11月1日18:30广东药学院（大学城校区）教学楼B2-316宣讲会，现场收简历，有武田礼包派发"
0,收件箱,0,1,0,,`106901059791,2016-11-02 09:30:36,,"【前程无忧】程淇铭您好，味全食品通知您参加11月03日18:30在广东工业大学（大学城校区）教学2号楼220举行的宣讲会，请准备简历，期待你的到来！"
0,收件箱,0,1,0,,`106901059791,2016-11-03 13:05:44,,"【前程无忧】程淇铭您好，广物地 产邀请您参加11月3日15:00在中山大学（大学城校区）行政楼B座多功能厅B101举行的宣讲会，现场接收简历。【广物集团】"
0,收件箱,0,1,0,,`106901059791,2016-11-10 18:32:07,,"【前程无忧】天涯海角，电力满格-海南电网2017校园招聘诚邀您参加11月11日10：00在华南理工大学（五山校区）北区3号楼215教室举行的招聘宣讲会，期待您的现场参与！"
1,收件箱,0,1,0,,`10690129199619,2016-11-03 12:25:30,,"【妈妈网】2017校园招聘 同学你好！恭喜你通过妈妈网2017校招笔试环节，现诚邀你参加面试，时间：2016年11月3号下午2点-4点，地点：广州市天河区天河路230号万菱国际中心43层，可到场请以“姓名+岗位+确认到场”的格式回复此短信至18028639269（如需更改时间也请回复），如未收到任何回复，则视为放弃面试机会。"
0,收件箱,0,1,0,,`10690890313676946680,2016-11-10 17:01:40,,"【nuotai诺泰武润专卖店】嗨翻双十一，狂抢代金券，满场买任意产品满79送价值40元大礼包 c.tb.cn/c.ZIasH 退订回N"
1,收件箱,0,1,0,,`18028639269,2016-11-04 19:31:05,,"【妈妈网2017校园招聘】同学你好！恭喜你已进入妈妈网2017校园招聘面试环节，请于11月8日（下周二）上午10:30至我司参加终试。地址：广州市天河区天河路万菱国际中心43F（地铁石牌桥A出口/BRT石牌桥站）。收到可确认到场无误请回复短信，祝一切顺利！"
0,收件箱,0,1,0,,`106550200731016288,2016-11-10 13:23:44,,"【智联招聘】亲爱滴童鞋们~全球500强企业telstra控股企业——太平洋电信股份有限公司招聘会还有一个小时就要开始啦，过来的小伙伴记得带上简历，不要让我们的HR妹妹等的太久哦~PS：听说今天过来参加宣讲会的童鞋明天就可以托单了呢~~~~~"
0,收件箱,0,1,0,,`1001002222,2016-11-10 10:31:27,,"【5元包3G，畅快买买买】秒杀靠WiFi？太慢！当日内回复“10”立即订购5元包3G省内流量快餐包（原价10元），即订即用，流量当日有效，还可重复订购！【广东联通】"
0,收件箱,0,1,0,,`106550200731016276,2016-11-10 10:15:17,,"【智联招聘】太平洋电信股份有限公司2017届校园招聘开始啦！太平洋电信是目前中国国内唯一一家拥有工信部颁发的因特网数据中心、因特网虚拟专用网、因特网接入和数据存储及转发服务经营许可证的合资公司。广州站宣讲会将于今日在广东工业大学举行，具体时间地点：11月10日14:00 广东工业大学 大学城校区 教6-103。回T退订"
1,收件箱,0,1,0,,`106909120018,2016-11-09 18:00:58,,"亲爱的同学，恭喜您通过了笔试环节，现邀请您参加我司面试！ *(-%@面试时间：11月11日13:30*(-%@面试地点：广州大学城中山大学东校区公共教学楼C104 *(-%@需携带：纸质简历一份 *(-%@期待您的到来！ 回T退订【广州速游网络科技】"
